station,zone,postcode,lat,long,easting,northing,value
Smitham,6,CR5 2JA,51.322453,-0.134333,530098,159802,7
Snaresbrook,4,E11 1QE,51.580891,0.021478,540161,188828,20
South Acton,3,W3 0DS,51.499686,-0.270201,520166,179279,55
South Bermondsey,2,SE16 2PL,51.487677,-0.05474,535156,178319,148
South Croydon,5,CR2 7PA,51.36275,-0.092503,532896,164358,20
South Ealing,3,W5 4QB,51.501644,-0.307026,517605,179437,55
South Hampstead,2,NW8 0DJ,51.541477,-0.178357,526425,184081,20
South Harrow,5,HA2 8HN,51.56468,-0.35188,514334,186376,7
South Kensington,1,SW7 2NB,51.494071,-0.173909,526865,178817,55
South Kenton,4,HA9 8QT,51.571044,-0.308129,517350,187153,20
South Merton,4,SW20 9JT,51.403241,-0.205536,524917,168662,3
South Quay,2,E14 9SH,51.500864,-0.018446,537636,179853,148
South Ruislip,5,HA4 6TP,51.55689,-0.399101,511080,185437,55
South Tottenham,3,N15 6ND,51.580403,-0.071842,533697,188599,148
South Wimbledon,"3,4",SW19 1DE,51.415361,-0.19196,525828,170033,3
South Woodford,4,E18 1JJ,51.591553,0.027958,540577,190026,148
Southall,4,UB2 4AA,51.505957,-0.378697,512620,179804,55
Southbury,5,EN3 4HW,51.648434,-0.052969,534803,196199,55
Southfields,3,SW18 5RJ,51.444883,-0.206595,524730,173291,3
Southgate,4,N14 5BH,51.632376,-0.127756,529675,194278,148
Southwark,1,SE1 8NW,51.503854,-0.105781,531566,180025,20
St Helier,4,SM4 6SF,51.389912,-0.199,525408,167191,7
St James Street,3,E17 7PJ,51.580609,-0.03279,536402,188694,148
St Johns,2,SE8 4EW,51.468975,-0.023226,537400,176298,3
St Margarets,4,TW1 2LH,51.455206,-0.32131,516732,174250,148
St Mary Cray,6,BR5 3SN,51.394759,0.107232,546698,168298,55
St Pancras,1,NW1 2QP,51.530554,-0.125491,530122,182959,55
St. James's Park,1,SW1H 0BD,51.49961,-0.133864,529629,179503,3
St. Johns Wood,2,NW8 6DN,51.534854,-0.17405,526742,183352,148
St. Pauls,1,EC2V 6AA,51.514835,-0.097557,532105,181261,148
Stamford Brook,2,W6 0SB,51.49445,-0.245232,521913,178738,148
Stamford Hill,3,N16 5AG,51.574448,-0.076654,533381,187928,20
Stanmore,5,HA7 4PD,51.619673,-0.303085,517574,192569,3
Star Lane,3,E16 4SR,51.520604,0.004205,539148,182091,55
Stepney Green,2,E1 4AQ,51.521996,-0.047368,535566,182149,148
Stockwell,2,SW9 9AE,51.472159,-0.122832,530473,176470,55
Stoke Newington,2,N16 6YA,51.564638,-0.072321,533710,186845,20
Stonebridge Park,3,NW10 0RW,51.543987,-0.275386,519690,184197,7
Stoneleigh,5,KT17 2JA,51.363364,-0.248695,522021,164155,55
Stratford,3,E15 1AZ,51.541693,-0.003737,538533,184421,55
Stratford High Street,3,E15 3PA,51.538149,-0.001066,538729,184032,148
Stratford International,3,E15 2LZ,51.544809,-0.008764,538175,184758,55
Strawberry Hill,5,TW1 4PP,51.439748,-0.339603,515500,172502,3
Streatham,3,SW16 6HP,51.425846,-0.132311,529946,171303,55
Streatham Common,3,SW16 5NT,51.418985,-0.135712,529729,170534,55
Streatham Hill,3,SW2 4PA,51.43846,-0.127667,530233,172714,20
Sudbury and Harrow Road,4,HA0 2HA,51.554494,-0.315912,516853,185300,7
Sudbury Hill,4,HA1 3RA,51.55734,-0.336378,515427,185584,55
Sudbury Hill Harrow,4,HA1 3RJ,51.558342,-0.335432,515490,185697,3
Sudbury Town,4,HA0 2LA,51.551397,-0.316329,516832,184955,148
Sundridge Park,4,BR1 3TR,51.413394,0.020379,540599,170200,20
Surbiton,6,KT6 4PE,51.3926,-0.30437,518070,167315,148
Surrey Quays,2,SE16 2UE,51.493267,-0.047516,535641,178954,55
Sutton,5,SM1 1JA,51.359506,-0.191288,526028,163823,20
Sutton Common,4,SM1 3HY,51.375555,-0.196906,525593,165598,7
Swiss Cottage,2,NW3 6HY,51.543035,-0.175612,526611,184259,3
Sydenham,3,SE26 5EU,51.427341,-0.055074,535311,171609,20
Sydenham Hill,3,SE21 7HW,51.432576,-0.080216,533548,172145,20
Syon Lane,4,TW7 5NT,51.481475,-0.326481,516306,177163,7
Tadworth,6,KT20 5SP,51.291628,-0.235994,523097,156199,7
Tattenham Corner,6,KT18 5PR,51.309181,-0.242552,522593,158140,55
Teddington,6,TW11 9AA,51.424498,-0.332691,516019,170817,20
Temple,1,WC2R 2PH,51.511041,-0.113711,530995,180810,55
Thames Ditton,6,KT7 0PA,51.388616,-0.338278,515721,166818,20
Theobalds Grove,7,EN8 7BG,51.692373,-0.034734,535933,201119,148
Therapia Lane,"3,4,5,6",CR0 3DD,51.385686,-0.129003,530290,166843,3
Theydon Bois,6,CM16 7EU,51.672552,0.102905,545509,199180,148
Thornton Heath,4,CR7 8RX,51.398481,-0.100419,532242,168317,7
Tolworth,5,KT5 9NU,51.376843,-0.279606,519834,165603,3
Tooting,3,SW17 9JR,51.419897,-0.160988,527969,170591,7
Tooting Bec,3,SW17 9AH,51.435838,-0.159686,528015,172366,55
Tooting Broadway,3,SW17 0SU,51.427049,-0.16867,527415,171373,7
Tottenham Court Road,1,W1D 2DA,51.516211,-0.131096,529774,181354,7
Tottenham Hale,3,N17 9LR,51.587998,-0.060173,534483,189465,3
Totteridge and Whetstone,4,N20 9QP,51.630247,-0.17934,526111,193951,55
Tower Gateway,1,EC3N 1JL,51.510393,-0.074395,533725,180809,55
Tower Hill,1,EC3N 4DJ,51.510394,-0.076687,533566,180805,148
Tufnell Park,2,N19 5QB,51.556441,-0.137728,529200,185816,3
Tulse Hill,3,SE27 9BW,51.439797,-0.105108,531797,172903,3
Turkey Street,6,EN3 5TT,51.672654,-0.047215,535129,198903,148
Turnham Green,2,W4 1LR,51.495182,-0.25451,521267,178804,3
Turnpike Lane,3,N15 3NX,51.590358,-0.102791,531524,189650,20
Twickenham,5,TW1 1BD,51.450251,-0.328846,516221,173687,7
Upminster,6,RM14 2TD,51.558763,0.251415,556167,186833,55
